S.No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,Thiruppur,Vellore,,,Rangareddy,,Gir Somnath,,,,,,Mungeli,,,,,,,Sirsa,,Shopian,Sahibzada Ajit Singh Nagar (Mohali),,,,,,,,,,Chhapra,Ranchi,,,,,Kamrup,Belonia,,Tawang
,,Virudhunagar,Viluppuram,,,Sangareddy,,Jamnagar,,,,,,Narayanpur,,,,,,,Sonipat,,Srinagar,Sangrur,,,,,,,,,,Noogchhaiya,Sahibganj,,,,,Guwahati,Melaghar,,Tirap
,,,,,,Siddipet,,Junagadh,,,,,,Raigarh,,,,,,,Yamunanagar,,Udhampur,Tarn Taran,,,,,,,,,,,Seraikela-Kharsawan,,,,,Amingaon,Mohanpur,,Upper Siang
,,,,,,Suryapet,,Morbi,,,,,,Raipur,,,,,,,,,Ladakh,Chandigarh,,,,,,,,,,,Simdega,,,,,Karbi Anglong,Ambassa,,Upper Subansiri
,,,,,,Vikarabad,,Porbandar,,,,,,Rajnandgaon,,,,,,,,,,,,,,,,,,,,,West Singhbhum,,,,,Diphu,Ranirbazar,,West Kameng
,,,,,,Wanaparthy,,Surendranagar,,,,,,Sukma,,,,,,,,,,,,,,,,,,,,,,,,,,Kokrajhar,Santirbazar,,West Siang
,,,,,,Warangal (Rural),,Kachchh,,,,,,Surajpur,,,,,,,,,,,,,,,,,,,,,,,,,,Lakhimpur,Kumarghat,,
,,,,,,Warangal (Urban),,Surat,,,,,,Surguja,,,,,,,,,,,,,,,,,,,,,,,,,,North Lakhimpur,Sonamura,,
,,,,,,Yadadri Bhuvanagiri,,Bharuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majuli,Panisagar,,
,,,,,,,,Dang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garamur,Amarpur,,
,,,,,,,,Narmada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morigaon,Jirania,,
,,,,,,,,Navsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagaon,Kamalpur,,
,,,,,,,,Tapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nalbari,Sabroom,,
,,,,,,,,Valsad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivasagar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonitpur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tezpur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Salmara Mankachar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hatsingimari,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinsukia,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udalguri,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Karbi Anglong,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Garo Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Jaintia Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Khasi Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Garo Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Bhoi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Garo Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Garo Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Khasi Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Garo Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Jaintia Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Khasi Hills,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimapur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiphire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kohima,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longleng,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokokchung,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mon,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peren,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phek,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuensang,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wokha,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zunheboto,,,
